exec,test,subtest,score
test_btree,BPlusTreeTest,Basic1,1
test_btree,BPlusTreeTest,RandInsertGet*,1
test_btree,BPlusTreeTest,SeqInsertGetValue16B*,0.5
test_btree,BPlusTreeTest,SeqInsertGetValue1024B*,0.5
test_btree,BPlusTreeTest,RandInsertUpdateGet*,1
test_btree,BPlusTreeTest,Delete1,0.2
test_btree,BPlusTreeTest,RandInsertGetDelete*,0.8
test_btree,BPlusTreeTest,RandInsertDeleteAll*,1
test_btree,BPlusTreeTest,Scan1,0.2
test_btree,BPlusTreeTest,RandInsertScanAll*,0.8
test_btree,BPlusTreeTest,SeqInsertScanAllValue16B*,0.5
test_btree,BPlusTreeTest,SeqInsertScanAllValue1024B*,0.5
test_btree,BPlusTreeTest,SeqInsertScanAllValueMax1024B*,1
test_btree,BPlusTreeTest,LowerBound1,0.2
test_btree,BPlusTreeTest,RandInsertLowerBound*,0.8
test_btree,BPlusTreeTest,UpperBound1,0.2
test_btree,BPlusTreeTest,RandInsertUpperBound*,0.8
test_btree,BPlusTreeTest,RandInsertScan*,1
test_btree,BPlusTreeTest,RandInsertDestroy*,1
test_btree,BPlusTreeTest,RandAllOperations*,1
test_basic,BasicTest,*,1